ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
3,https://www.gem.wiki/Tilbury_Island_LNG_Terminal,Tilbury Island LNG Terminal,Export,Proposed,Canada,0.65,mtpa,0.88,2028,Tilbury Island,British Columbia,49.14251084,-123.0340825,--,2024-09-10
4,https://www.gem.wiki/Tilbury_Island_LNG_Terminal,Tilbury Island LNG Terminal,Export,Proposed,Canada,2.5,mtpa,3.4,2028,Tilbury Island,British Columbia,49.14251084,-123.0340825,--,2024-09-09
1,https://www.gem.wiki/New_Fortress_Banda_LNG_Terminal,New Fortress Banda LNG Terminal,Export,Shelved,Mauritania,,,--,2024,Banda gas field,,17.948231,-16.658219,--,2023-08-21
0,https://www.gem.wiki/Karmol_Dakar_FSRU,Karmol Dakar FSRU,Import,Construction,Senegal,2.5,mtpa,3.4,2024,Dakar,,14.6893,-17.4323,--,2024-07-22
0,https://www.gem.wiki/Guinea_LNG_Terminal,Guinea LNG Terminal,Import,Proposed,Guinea,,,--,2023,Kamsar,,10.6523,-14.6149,300000000,2024-07-17
1,https://www.gem.wiki/Guinea_LNG_Terminal,Guinea LNG Terminal,Export,Proposed,Guinea,,,--,2023,Kamsar,,10.6523,-14.6149,--,2024-07-17
0,https://www.gem.wiki/Summit_Matarbari_FSRU,Summit Matarbari FSRU,Import,Proposed,Bangladesh,0.6,bcf/d,6.2,2026,Offshore Moheshkhali Island,Chittagong,21.703668,91.814862,500000000,2024-06-04
1,https://www.gem.wiki/UTM_Offshore_FLNG_Terminal,UTM Offshore FLNG Terminal,Export,Proposed,Nigeria,2.72,mtpa,3.7,2028,Yoho field,,4.1485,7.5526,--,2024-07-18
0,https://www.gem.wiki/Crown_Kakinada_LNG_Terminal,Crown Kakinada LNG Terminal,Import,Proposed,India,7.2,mtpa,9.79,2028,Offshore Kakinada,Andhra Pradesh,16.9524,82.3869,1000000000,2024-06-12
0,https://www.gem.wiki/LNG_Alliance_Mangalore_FSRU,LNG Alliance Mangalore FSRU,Import,Shelved,India,4,mtpa,5.44,--,Mangalore,Kakinada,12.926024,74.81257,290000000,2024-06-17
0,https://www.gem.wiki/New_Fortress_Colombo_LNG_Terminal,New Fortress Colombo LNG Terminal,Import,Shelved,Sri Lanka,1200000,gal/day,0.96,2023,Offshore Colombo,,6.9048,79.4723,--,2024-07-10
0,https://www.gem.wiki/Chuanbi_Island_LNG_Terminal,Chuanbi Island LNG Terminal,Import,Cancelled,China,3,mtpa,4.08,--,Chuanbi Island,Zhejiang,29.91474423,122.0033309,--,2023-02-07
0,https://www.gem.wiki/Jieyang_LNG_Terminal_(PetroChina),Jieyang LNG Terminal (PetroChina),Import,Shelved,China,6.5,mtpa,8.84,--,Huilai,Guangdong,22.9362588,116.2506755,--,2024-02-14
